Data prepared by Tyler R. & Dave F.,,,,
avg,459877.534,MW,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,1,1.236681416
2015,7,2,2,1.211446437
2015,7,2,3,1.161104773
2015,7,2,4,1.083331894
2015,7,2,5,1.011317069
2015,7,2,6,0.957802822
2015,7,2,7,0.907482904
2015,7,2,8,0.871114526
2015,7,2,9,0.854053462
2015,7,2,10,0.859148297
2015,7,2,11,0.884150605
2015,7,2,12,0.918448867
2015,7,2,13,0.963365173
2015,7,2,14,1.01383948
2015,7,2,15,1.070315385
2015,7,2,16,1.123764398
2015,7,2,17,1.169263467
2015,7,2,18,1.206610367
2015,7,2,19,1.233078283
2015,7,2,20,1.2493761
2015,7,2,21,1.257502177
2015,7,2,22,1.258093638
2015,7,2,23,1.241291339
2015,7,2,24,1.21601287
2015,7,3,1,1.189060042
2015,7,3,2,1.165729918
2015,7,3,3,1.1179759
2015,7,3,4,1.049157578
2015,7,3,5,0.981724408
2015,7,3,6,0.926292259
2015,7,3,7,0.879266696
2015,7,3,8,0.844535711
2015,7,3,9,0.823895433
2015,7,3,10,0.818296116
2015,7,3,11,0.821914471
2015,7,3,12,0.836742331
2015,7,3,13,0.871882121
2015,7,3,14,0.923676345
2015,7,3,15,0.980145727
2015,7,3,16,1.029615419
2015,7,3,17,1.075162328
2015,7,3,18,1.113172447
2015,7,3,19,1.144424246
2015,7,3,20,1.16747386
2015,7,3,21,1.184465341
2015,7,3,22,1.192184787
2015,7,3,23,1.181825507
2015,7,3,24,1.158371437
2015,7,4,1,1.13469122
2015,7,4,2,1.113622567
2015,7,4,3,1.074353417
2015,7,4,4,1.013622031
2015,7,4,5,0.954749836
2015,7,4,6,0.898984989
2015,7,4,7,0.855673458
2015,7,4,8,0.823317018
2015,7,4,9,0.79964115
2015,7,4,10,0.787870625
2015,7,4,11,0.781916866
2015,7,4,12,0.785506952
2015,7,4,13,0.816280362
2015,7,4,14,0.873138978
2015,7,4,15,0.934831489
2015,7,4,16,0.993266612
2015,7,4,17,1.043079873
2015,7,4,18,1.081948917
2015,7,4,19,1.109712831
2015,7,4,20,1.131120704
2015,7,4,21,1.146905341
2015,7,4,22,1.150908581
2015,7,4,23,1.137989924
2015,7,4,24,1.110017259
2015,7,5,1,1.076658378
2015,7,5,2,1.046769986
2015,7,5,3,1.013348045
2015,7,5,4,0.972954682
2015,7,5,5,0.923837258
2015,7,5,6,0.873471675
2015,7,5,7,0.835209315
2015,7,5,8,0.806845241
2015,7,5,9,0.787679269
2015,7,5,10,0.775965281
2015,7,5,11,0.767632628
2015,7,5,12,0.773225421
2015,7,5,13,0.810148295
2015,7,5,14,0.86848774
2015,7,5,15,0.933948645
2015,7,5,16,0.998354923
2015,7,5,17,1.059044993
2015,7,5,18,1.110800077
2015,7,5,19,1.150373656
2015,7,5,20,1.180757832
2015,7,5,21,1.20278761
2015,7,5,22,1.212711991
2015,7,5,23,1.208208618
2015,7,5,24,1.189603665
2015,7,6,1,1.16627789
2015,7,6,2,1.14802303
2015,7,6,3,1.108210257
2015,7,6,4,1.041479447
2015,7,6,5,0.975409684
2015,7,6,6,0.922534737
2015,7,6,7,0.879362374
2015,7,6,8,0.851346219
2015,7,6,9,0.838162275
2015,7,6,10,0.847895301
2015,7,6,11,0.876450729
2015,7,6,12,0.92502453
2015,7,6,13,0.982270206
2015,7,6,14,1.04572623
2015,7,6,15,1.114427129
2015,7,6,16,1.182358258
2015,7,6,17,1.241502265
2015,7,6,18,1.298336961
2015,7,6,19,1.332585209
2015,7,6,20,1.35515861
2015,7,6,21,1.368227307
2015,7,6,22,1.373302571
2015,7,6,23,1.356724245
2015,7,6,24,1.326453142
2015,7,7,1,1.291126346
2015,7,7,2,1.262546998
2015,7,7,3,1.205842771
2015,7,7,4,1.125032126
2015,7,7,5,1.047648481
2015,7,7,6,0.985079649
2015,7,7,7,0.935494709
2015,7,7,8,0.900924636
2015,7,7,9,0.885957608
2015,7,7,10,0.894566422
2015,7,7,11,0.925139779
2015,7,7,12,0.969705991
2015,7,7,13,1.020443412
2015,7,7,14,1.080611605
